City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Sitka,US,2022-07-09 18:18:14,57.0531,-135.33,57.09,82,100,5.75
67,Yellowknife,CA,2022-07-09 18:16:03,62.456,-114.3525,64.92,82,75,11.5
68,Hithadhoo,MV,2022-07-09 18:14:44,-0.6,73.0833,82.45,76,13,5.59
69,Atuona,PF,2022-07-09 18:18:15,-9.8,-139.0333,77.36,79,27,20.33
70,San Rafael,AR,2022-07-09 18:16:52,-34.6177,-68.3301,62.67,16,14,2.57
71,Geraldton,AU,2022-07-09 18:18:15,-28.7667,114.6,64.81,77,40,17.27
72,Itoman,JP,2022-07-09 18:18:16,26.1247,127.6694,84.58,89,20,5.75
73,Grindavik,IS,2022-07-09 18:18:16,63.8424,-22.4338,57.15,100,100,20.71
74,Ushuaia,AR,2022-07-09 18:18:17,-54.8,-68.3,29.86,80,100,19.57
75,Dikson,RU,2022-07-09 18:18:17,73.5069,80.5464,33.49,88,49,6.08
76,Payakumbuh,ID,2022-07-09 18:18:18,-0.2202,100.6308,68.67,94,83,3.67
77,Maragogi,BR,2022-07-09 18:18:18,-9.0122,-35.2225,77.43,84,12,14.74
78,Agadir,MA,2022-07-09 18:17:49,30.4202,-9.5982,90.05,33,16,1.23
79,Saryg-Sep,RU,2022-07-09 18:18:19,51.5,95.6,54.75,65,65,3.33
80,Cockburn Town,TC,2022-07-09 18:18:19,21.4612,-71.1419,84.16,70,40,17.27
81,Cape Town,ZA,2022-07-09 18:16:26,-33.9258,18.4232,58.12,91,75,16.11
82,Codrington,AU,2022-07-09 18:18:20,-38.2667,141.9667,42.35,93,1,7.16
83,Russell,US,2022-07-09 18:18:20,32.3502,-85.1999,95.34,43,96,6.71
84,Cururupu,BR,2022-07-09 18:18:21,-1.8283,-44.8683,84.42,62,45,4.72
85,Rognan,NO,2022-07-09 18:18:21,67.0953,15.3878,60.06,71,100,5.97
86,Avarua,CK,2022-07-09 18:19:21,-21.2078,-159.775,71.65,68,100,8.05
87,Edd,ER,2022-07-09 18:19:22,13.9297,41.6925,91.26,53,100,2.04
88,Mount Gambier,AU,2022-07-09 18:19:22,-37.8333,140.7667,35.51,100,100,6.91
89,Lebu,CL,2022-07-09 18:17:05,-37.6167,-73.65,47.46,86,100,6.82
90,Talaya,RU,2022-07-09 18:19:23,61.3833,152.75,58.78,76,11,5.17
91,Bubaque,GW,2022-07-09 18:16:07,11.2833,-15.8333,81.27,81,92,11.81
92,Sao Filipe,CV,2022-07-09 18:19:23,14.8961,-24.4956,74.39,84,36,6.51
93,Pisco,PE,2022-07-09 18:19:24,-13.7,-76.2167,64.45,77,37,10.36
94,Cartagena Del Chaira,CO,2022-07-09 18:19:24,1.3349,-74.8429,70.5,99,100,2.08
95,Acatlan,MX,2022-07-09 18:19:24,20.15,-98.45,70.95,54,72,11.3
96,Bulgan,MN,2022-07-09 18:19:25,48.8125,103.5347,52.03,88,98,1.9
97,Shache,CN,2022-07-09 18:16:09,38.4167,77.2406,78.28,16,2,5.61
98,Narsaq,GL,2022-07-09 18:19:26,60.9167,-46.05,55.62,77,88,5.55
99,Vestmanna,FO,2022-07-09 18:19:26,62.1564,-7.1664,49.12,100,100,10.36
100,Sangar,RU,2022-07-09 18:19:26,63.9242,127.4739,57.4,69,100,2.84
101,Westport,US,2022-07-09 18:16:42,41.1415,-73.3579,87.44,53,0,10.36
102,Roald,NO,2022-07-09 18:19:27,62.5833,6.1333,55.17,93,75,17.27
103,Port Alfred,ZA,2022-07-09 18:19:27,-33.5906,26.891,69.67,37,0,11.86
104,Halifax,CA,2022-07-09 18:16:47,44.6453,-63.5724,74.68,50,6,7.0
105,Baiyin,CN,2022-07-09 18:19:28,36.5583,104.2081,77.54,49,37,3.29
106,Ahipara,NZ,2022-07-09 18:19:28,-35.1667,173.1667,57.4,93,38,5.97
107,Kysyl-Syr,RU,2022-07-09 18:19:28,63.8986,122.7617,58.71,82,100,3.33
108,Parana,AR,2022-07-09 18:16:51,-31.732,-60.5238,83.55,56,11,15.17
109,Cherskiy,RU,2022-07-09 18:19:29,68.75,161.3,36.86,89,100,14.58
110,Cardonal,MX,2022-07-09 18:19:30,20.6,-99.1333,75.96,43,69,10.36
111,Devonport,AU,2022-07-09 18:19:30,-41.1667,146.35,41.02,80,4,6.71
112,Beringovskiy,RU,2022-07-09 18:19:30,63.05,179.3167,48.83,91,100,14.5
113,Mbaiki,CF,2022-07-09 18:19:31,3.8678,17.9892,70.52,97,92,1.01
114,Flinders,AU,2022-07-09 18:19:31,-34.5833,150.8552,52.18,90,93,4.0
115,Saint-Philippe,RE,2022-07-09 18:19:32,-21.3585,55.7679,67.59,76,53,18.32
116,San Patricio,US,2022-07-09 18:19:32,28.017,-97.5169,98.08,33,13,6.58
117,Mangan,IN,2022-07-09 18:19:32,27.5167,88.5333,75.58,90,79,1.7
118,Tomatlan,MX,2022-07-09 18:19:28,19.9333,-105.25,92.48,47,53,4.43
119,Omegna,IT,2022-07-09 18:19:33,45.8798,8.408,85.75,52,74,0.76
120,Qaanaaq,GL,2022-07-09 18:19:33,77.484,-69.3632,43.41,76,96,1.68
121,Astorga,BR,2022-07-09 18:19:34,-23.2325,-51.6656,77.05,40,2,10.78
122,Panyutyne,UA,2022-07-09 18:19:34,48.9333,36.2833,75.7,38,81,7.14
123,Provideniya,RU,2022-07-09 18:19:35,64.3833,-173.3,48.22,93,100,5.86
124,Zhezkazgan,KZ,2022-07-09 18:19:35,47.8043,67.7144,70.93,48,72,11.1
